Z_i,A total  [Msun^{-1}],A MRR  [Msun^{-1}],A nonMRR  [Msun^{-1}],A MRR_spin  [Msun^{-1}],A nonMRR_spin  [Msun^{-1}],B total  [Msun^{-1}],B MRR  [Msun^{-1}],B nonMRR  [Msun^{-1}],B MRR_spin  [Msun^{-1}],B nonMRR_spin  [Msun^{-1}],C total  [Msun^{-1}],C MRR  [Msun^{-1}],C nonMRR  [Msun^{-1}],C MRR_spin  [Msun^{-1}],C nonMRR_spin  [Msun^{-1}],D total  [Msun^{-1}],D MRR  [Msun^{-1}],D nonMRR  [Msun^{-1}],D MRR_spin  [Msun^{-1}],D nonMRR_spin  [Msun^{-1}],E total  [Msun^{-1}],E MRR  [Msun^{-1}],E nonMRR  [Msun^{-1}],E MRR_spin  [Msun^{-1}],E nonMRR_spin  [Msun^{-1}],F total  [Msun^{-1}],F MRR  [Msun^{-1}],F nonMRR  [Msun^{-1}],F MRR_spin  [Msun^{-1}],F nonMRR_spin  [Msun^{-1}],G total  [Msun^{-1}],G MRR  [Msun^{-1}],G nonMRR  [Msun^{-1}],G MRR_spin  [Msun^{-1}],G nonMRR_spin  [Msun^{-1}],H total  [Msun^{-1}],H MRR  [Msun^{-1}],H nonMRR  [Msun^{-1}],H MRR_spin  [Msun^{-1}],H nonMRR_spin  [Msun^{-1}],I total  [Msun^{-1}],I MRR  [Msun^{-1}],I nonMRR  [Msun^{-1}],I MRR_spin  [Msun^{-1}],I nonMRR_spin  [Msun^{-1}],J total  [Msun^{-1}],J MRR  [Msun^{-1}],J nonMRR  [Msun^{-1}],J MRR_spin  [Msun^{-1}],J nonMRR_spin  [Msun^{-1}],K total  [Msun^{-1}],K MRR  [Msun^{-1}],K nonMRR  [Msun^{-1}],K MRR_spin  [Msun^{-1}],K nonMRR_spin  [Msun^{-1}],L total  [Msun^{-1}],L MRR  [Msun^{-1}],L nonMRR  [Msun^{-1}],L MRR_spin  [Msun^{-1}],L nonMRR_spin  [Msun^{-1}],M total  [Msun^{-1}],M MRR  [Msun^{-1}],M nonMRR  [Msun^{-1}],M MRR_spin  [Msun^{-1}],M nonMRR_spin  [Msun^{-1}],N total  [Msun^{-1}],N MRR  [Msun^{-1}],N nonMRR  [Msun^{-1}],N MRR_spin  [Msun^{-1}],N nonMRR_spin  [Msun^{-1}],O total  [Msun^{-1}],O MRR  [Msun^{-1}],O nonMRR  [Msun^{-1}],O MRR_spin  [Msun^{-1}],O nonMRR_spin  [Msun^{-1}],P total  [Msun^{-1}],P MRR  [Msun^{-1}],P nonMRR  [Msun^{-1}],P MRR_spin  [Msun^{-1}],P nonMRR_spin  [Msun^{-1}],Q total  [Msun^{-1}],Q MRR  [Msun^{-1}],Q nonMRR  [Msun^{-1}],Q MRR_spin  [Msun^{-1}],Q nonMRR_spin  [Msun^{-1}],R total  [Msun^{-1}],R MRR  [Msun^{-1}],R nonMRR  [Msun^{-1}],R MRR_spin  [Msun^{-1}],R nonMRR_spin  [Msun^{-1}],S total  [Msun^{-1}],S MRR  [Msun^{-1}],S nonMRR  [Msun^{-1}],S MRR_spin  [Msun^{-1}],S nonMRR_spin  [Msun^{-1}],T total  [Msun^{-1}],T MRR  [Msun^{-1}],T nonMRR  [Msun^{-1}],T MRR_spin  [Msun^{-1}],T nonMRR_spin  [Msun^{-1}]
0_0009,4.58465205412124e-05,1.8467384843281057e-05,2.7379135697931343e-05,4.603708314645888e-06,2.214059168947213e-05,5.269900044158194e-05,1.3562475213849974e-05,3.913652522773198e-05,6.787613523432341e-06,3.234684275777694e-05,4.36631837591108e-05,1.687726360264887e-05,2.678592015646193e-05,6.55908916182624e-06,2.0152845886461905e-05,3.563192185086799e-05,1.9834328100883705e-05,1.5797593749984276e-05,6.896984380978376e-06,1.1075190161896764e-05,4.521281214774301e-05,1.824047022204092e-05,2.697234192570208e-05,4.457560665448953e-06,2.169436416124644e-05,5.743199873753615e-05,2.9883601448795585e-05,2.754839728874055e-05,1.4685872912087208e-05,2.1776968956131568e-05,1.970334716967972e-05,1.4812047062173587e-05,4.89130010750613e-06,3.171639960902421e-06,3.8649014182043246e-06,3.385538606028553e-05,1.8439294135994943e-05,1.5416091924290584e-05,5.512656978776489e-06,1.0706196579263573e-05,4.764075297225345e-05,1.7286423996629998e-05,3.0354328975623447e-05,3.746192346003472e-06,2.140521611338733e-05,2.350546641752365e-05,1.3503327396313493e-05,1.0002139021210164e-05,1.8058510311793244e-06,1.7380228160066067e-06,5.81867516916542e-05,3.0384469522832773e-05,2.7802282168821443e-05,1.488871552654557e-05,2.2499305759425065e-05,4.50158597822268e-05,1.9619607549662323e-05,2.539625223256449e-05,5.595966949594883e-06,2.048296530519849e-05,4.851087280897728e-05,1.876600860269272e-05,2.974486420628456e-05,4.7760814817667655e-06,2.353103429430441e-05,4.376644532484054e-05,1.829829296098272e-05,2.546815236385784e-05,4.456026473872667e-06,2.0489835481150297e-05,4.6038031680657306e-05,1.8740057611571787e-05,2.7297974069085512e-05,4.556659164685464e-06,2.2061332720291583e-05,4.996177411139141e-05,1.968392530947093e-05,3.027784880192048e-05,5.5207992228523e-06,2.5607054739519447e-05,5.1848173189806e-05,2.107190625862246e-05,3.0776266931183535e-05,6.77981771740943e-06,2.6396178013276387e-05,5.0947015203441904e-05,2.19615544395822e-05,2.898546076385973e-05,7.657651107520757e-06,2.4820138396239828e-05,4.5870680896340165e-05,1.93919814087966e-05,2.6478699487543564e-05,5.000734185594433e-06,2.1429496306061503e-05,3.839066991505607e-05,7.786739830368172e-06,3.06039300846879e-05,3.345417360612622e-06,2.3844420925054856e-05
0_00101,4.442678304866094e-05,1.745041737643532e-05,2.6976365672225607e-05,4.319220848684673e-06,2.223436146109555e-05,5.124579189914868e-05,1.2764381871684112e-05,3.848141002746456e-05,6.13982302897975e-06,3.1875629629216165e-05,4.22356363985846e-05,1.6435519550787952e-05,2.5800116847796647e-05,6.16409569026066e-06,1.9451343677738107e-05,3.39059556058897e-05,1.9389966050896376e-05,1.451598955499332e-05,6.619854239591739e-06,9.971075317492804e-06,4.354734844385332e-05,1.727252250992672e-05,2.6274825933926584e-05,4.082258176112781e-06,2.1628198732601536e-05,5.627699702536815e-05,2.936328138642721e-05,2.691371563894095e-05,1.4554643358395998e-05,2.173980363956312e-05,1.800487156782371e-05,1.3885674912518549e-05,4.11919665530516e-06,2.944079355777889e-06,3.158155660795504e-06,3.1659147631814633e-05,1.7280207958397614e-05,1.437893967341702e-05,5.367203036422654e-06,1.0175207026216511e-05,4.602798229004615e-05,1.6321669216076836e-05,2.9706313073969303e-05,3.493458537471988e-06,2.108639412701076e-05,2.2108211639161243e-05,1.2632743760432664e-05,9.475467878728582e-06,1.5856104620967298e-06,1.7296624010912706e-06,5.76557381780309e-05,3.010988765630984e-05,2.7545850521721084e-05,1.505486342014327e-05,2.265333959057796e-05,4.316804065183706e-05,1.827191946605404e-05,2.4896121185783004e-05,4.9885729695411385e-06,2.0356234108995288e-05,4.694825963927935e-05,1.769320707191822e-05,2.9255052567361143e-05,4.389910675383636e-06,2.3481026587314965e-05,4.239813870249829e-05,1.7417589511611153e-05,2.4980549190887145e-05,4.223407839588747e-06,2.0449387953449524e-05,4.4538554749765296e-05,1.7720178359363387e-05,2.6818376390401912e-05,4.2801123586691645e-06,2.202965420115012e-05,4.867018328998996e-05,1.855824771547735e-05,3.0111935574512613e-05,5.130936169965333e-06,2.5794988026171627e-05,5.050428650667996e-05,1.981930287098132e-05,3.068498363569862e-05,6.237272151599481e-06,2.651004792898229e-05,4.952099570436996e-05,2.0675768762355645e-05,2.8845226942014303e-05,6.9851005050687925e-06,2.5053954887495062e-05,4.485908033912654e-05,1.8445413131025917e-05,2.641366720810063e-05,4.544756120130238e-06,2.151044903069851e-05,3.559669005555115e-05,6.338715992746417e-06,2.9257974062804724e-05,2.7324662770799007e-06,2.2908331378353894e-05
0_00113,4.526120830298295e-05,1.5727317336690607e-05,2.953389096629234e-05,3.688315566152871e-06,2.367957480997593e-05,4.961135580299489e-05,1.1647868409972718e-05,3.796348739302218e-05,5.350281658785012e-06,3.125709217741796e-05,4.034836492865565e-05,1.495639471280824e-05,2.5391970215847425e-05,5.104508848483857e-06,1.8666370006639382e-05,3.277552794908585e-05,1.7857753483581936e-05,1.4917774465503912e-05,5.670722633528487e-06,9.447948503604389e-06,4.4427727513445225e-05,1.548021560125333e-05,2.8947511912191902e-05,3.4976890225498406e-06,2.312983470762003e-05,5.811676034377392e-05,2.856744645061158e-05,2.954931389316235e-05,1.4803958997395332e-05,2.3253561177165432e-05,1.878205853305949e-05,1.3157367125893657e-05,5.6246914071658325e-06,2.792190099273592e-06,4.509340682593592e-06,3.3415658662175614e-05,1.5837602424220505e-05,1.7578056237955116e-05,4.451163805564693e-06,1.1642968954377505e-05,4.491366183281393e-05,1.455072091725329e-05,3.036294091556064e-05,2.7392139850346112e-06,2.0632382449492114e-05,2.1090346623660296e-05,1.1681301751669354e-05,9.40904487199094e-06,1.4593143674295777e-06,1.5879907202759622e-06,5.8823764231450525e-05,2.874862473561675e-05,3.007513949583377e-05,1.474758059361317e-05,2.412685144505768e-05,4.323103586006141e-05,1.6644467151765474e-05,2.6586568708295936e-05,4.253629562874986e-06,2.102645490747965e-05,4.8342222871715e-05,1.61803898656458e-05,3.21618330060692e-05,3.894176638694618e-06,2.521339338544254e-05,4.270618715006766e-05,1.558543812274801e-05,2.712074902731964e-05,3.618670905859022e-06,2.1476055223488013e-05,4.527826399176971e-05,1.587040773133e-05,2.9407856260439704e-05,3.653421327662505e-06,2.356516224574588e-05,4.924110536578266e-05,1.6666727710575107e-05,3.257437765520756e-05,4.343024474893054e-06,2.730843570979497e-05,5.149009361055881e-05,1.7888892081571233e-05,3.360120152898757e-05,5.318481324207122e-06,2.8742361138557857e-05,5.04590214940344e-05,1.8757395317306027e-05,3.170162617672837e-05,6.121726439953467e-06,2.720930148492984e-05,4.537653727071609e-05,1.726541598341127e-05,2.8111121287304828e-05,4.054952551723673e-06,2.2663250156488965e-05,3.3941661848251035e-05,4.106588583316908e-06,2.9835073264934133e-05,1.9801310751119757e-06,2.2252230422865806e-05
0_00126,4.45320934703793e-05,1.4013539297906394e-05,3.0518554172472913e-05,3.1067506812144147e-06,2.425363604655021e-05,4.767162217475511e-05,1.0337480613505414e-05,3.733414156124969e-05,4.461598627218663e-06,3.0650989198881715e-05,3.751046632065642e-05,1.3130982523719749e-05,2.4379483796936657e-05,4.294669229258683e-06,1.7966830461989805e-05,3.056715881103976e-05,1.5865124177728435e-05,1.4702034633311314e-05,4.628084537438214e-06,9.086750108357671e-06,4.378300755180074e-05,1.3842372386277808e-05,2.9940635165522925e-05,2.9437270174532667e-06,2.3669112090174704e-05,5.7566451986115226e-05,2.687430759535633e-05,3.0692144390758895e-05,1.4072727643201206e-05,2.3881172519677032e-05,1.8898453192166544e-05,1.2190836748514115e-05,6.707616443652428e-06,2.465069938740356e-06,5.244455437698759e-06,3.37237065389219e-05,1.4411574419831336e-05,1.931213211909056e-05,3.870674039878839e-06,1.267553602695962e-05,4.315802461194766e-05,1.322932569450984e-05,2.992869891743781e-05,2.281525711647536e-06,2.013459976243995e-05,1.952174011741492e-05,1.073827697639224e-05,8.783463141022678e-06,1.2091529048398864e-06,1.4789407246669282e-06,5.842969817293863e-05,2.7246101751661844e-05,3.118359642127676e-05,1.4296350210968046e-05,2.479503166923469e-05,4.209025195664897e-05,1.491053425037048e-05,2.717971770627848e-05,3.612082503545819e-06,2.1274814456883856e-05,4.8444211416987526e-05,1.4474517390947608e-05,3.3969694026039925e-05,3.3372997903150324e-06,2.625957938190628e-05,4.170246135356246e-05,1.4028501440887589e-05,2.767395991267487e-05,3.032056595726246e-06,2.166361892410536e-05,4.439807726041008e-05,1.401817123665835e-05,3.037990602375172e-05,3.0769088924062694e-06,2.4120520465207373e-05,4.888502086085617e-05,1.5063881512307852e-05,3.3821139348548326e-05,3.833881926312453e-06,2.831130484939174e-05,5.082111010692148e-05,1.6162046937992083e-05,3.46590631689294e-05,4.642686628183973e-06,2.965243163771517e-05,5.038049915150158e-05,1.6814633499577895e-05,3.356586565192367e-05,5.275193597690544e-06,2.8632429901353885e-05,4.5664845601966495e-05,1.6090754619015008e-05,2.9574090982951498e-05,3.532205452897916e-06,2.3571271808045643e-05,3.04689669255584e-05,2.440999659666515e-06,2.8027967265891882e-05,1.3626814297572616e-06,2.0743606795437144e-05
0_0014,4.303944243676245e-05,1.2620018965479833e-05,3.041942347128262e-05,2.6694340577629675e-06,2.4357888424470348e-05,4.54052220185693e-05,9.27619398773097e-06,3.612902803083832e-05,3.840566315325998e-06,2.972923440700982e-05,3.486731893674824e-05,1.1611923410519943e-05,2.3255395526228293e-05,3.776426685212456e-06,1.6987281938576816e-05,2.840118303708584e-05,1.4153737741534817e-05,1.4247445295551024e-05,3.877600979952025e-06,8.415132248051762e-06,4.2358669563421183e-05,1.2444616073281713e-05,2.9914053490139467e-05,2.4696152048293106e-06,2.36735867922855e-05,5.63239967133012e-05,2.562490218526364e-05,3.0699094528037564e-05,1.3456558229675744e-05,2.3929839556119244e-05,1.8466935850797748e-05,1.1383738960451104e-05,7.083196890346649e-06,2.2028938354345875e-06,5.7703339724152296e-06,3.346297880200502e-05,1.319481746971524e-05,2.026816133228978e-05,3.3975651262854296e-06,1.3246226719545532e-05,4.146587528970903e-05,1.195005154301148e-05,2.951582374669755e-05,2.023641533511832e-06,1.9744217967328115e-05,1.842668158654842e-05,9.866617405642116e-06,8.560064180906306e-06,1.0784304075668982e-06,1.385110148593052e-06,5.7333313449582e-05,2.6280345467852105e-05,3.105296798172988e-05,1.432509640019661e-05,2.4882888949226777e-05,4.036259471131985e-05,1.359253129828117e-05,2.6770063413038668e-05,3.166607373196475e-06,2.11211186307961e-05,4.719160601249885e-05,1.3003321026994917e-05,3.4188284985503944e-05,2.851781077487478e-06,2.657338486472904e-05,3.999776403873877e-05,1.2570633313057734e-05,2.742713072568104e-05,2.5650760737345314e-06,2.1687754203553537e-05,4.2986956685040586e-05,1.264357926099459e-05,3.0343377424046003e-05,2.646812350067684e-06,2.43074093331044e-05,4.789733548172e-05,1.3626208843259226e-05,3.427112663846076e-05,3.2570969538144886e-06,2.9131061770761628e-05,4.908426161670431e-05,1.4255245077518727e-05,3.482901653918558e-05,3.817006439046895e-06,3.0071886990683783e-05,4.896983761398875e-05,1.5193577227649244e-05,3.377626038633952e-05,4.499676120158562e-06,2.9221333576920457e-05,4.447211996775546e-05,1.491749628087782e-05,2.9554623686877638e-05,3.1132877396667598e-06,2.387460262611108e-05,2.7151297210785007e-05,1.274435801467845e-06,2.587686140931717e-05,8.153029097245665e-07,1.8909112748749293e-05
0_00157,4.120234935232597e-05,1.1015744124644998e-05,3.018660522768096e-05,2.183311289169323e-06,2.4087689137790515e-05,4.246094823733385e-05,7.742788326019578e-06,3.471815991131427e-05,3.174920009080719e-06,2.8768125863374684e-05,3.194066244623551e-05,1.0114163229492412e-05,2.1826499216743096e-05,3.372164930025713e-06,1.6104594988788107e-05,2.580952924103564e-05,1.2096870559533657e-05,1.3712658681501972e-05,2.8801625606804666e-06,8.003748385480609e-06,4.034275602755835e-05,1.0844109952402892e-05,2.949864607515545e-05,2.035176553573541e-06,2.352588973341803e-05,5.549404707454267e-05,2.517912243562841e-05,3.031492463891424e-05,1.3924019434804485e-05,2.382494941415243e-05,1.785728389504388e-05,1.0335789278181888e-05,7.521494616861987e-06,1.8991365879742008e-06,6.142657197095338e-06,3.236451995193948e-05,1.1614081468359617e-05,2.0750438483579866e-05,2.7071489634901976e-06,1.3672800596041014e-05,3.896882816202033e-05,1.0577245862581691e-05,2.839158229943864e-05,1.7000634291148213e-06,1.857299388378266e-05,1.6927455659523807e-05,8.847207281128842e-06,8.080248378394963e-06,8.518183196067318e-07,1.3564524983494158e-06,5.672270528257318e-05,2.5759223762890248e-05,3.0963481519682934e-05,1.4318773677798113e-05,2.473106346479219e-05,3.823914485281086e-05,1.2108983011027612e-05,2.613016184178325e-05,2.794162853736366e-06,2.050902209429721e-05,4.499124993192635e-05,1.1366884976794364e-05,3.3624364955131974e-05,2.354134054277161e-06,2.6330429941454563e-05,3.773609740268039e-05,1.0824006440770863e-05,2.691209096190953e-05,2.050635532150784e-06,2.116051454377604e-05,4.111829221115987e-05,1.098255783396066e-05,3.013573437719921e-05,2.179237045798165e-06,2.404449764918929e-05,4.6362914002363264e-05,1.2109429809975289e-05,3.425348419238798e-05,2.8340479128185134e-06,2.919766058193066e-05,4.730694365255033e-05,1.2792238849385158e-05,3.4514704803165166e-05,3.46003918803452e-06,2.999172334086941e-05,4.76837207760388e-05,1.3629094085148216e-05,3.405462669089059e-05,4.003909105020897e-06,2.9634174455095912e-05,4.342112867337564e-05,1.370230308076436e-05,2.9718825592611293e-05,2.761654208886053e-06,2.402283768214407e-05,2.3388124298611226e-05,6.271316204948259e-07,2.2760992678116403e-05,4.405507169243517e-07,1.660972702103868e-05
0_00175,3.941224604650593e-05,9.720660712635428e-06,2.969158533387049e-05,1.82173675079576e-06,2.374616386058105e-05,4.048379428601684e-05,6.888824982826866e-06,3.3594969303189976e-05,2.7303983931119406e-06,2.7870939298514585e-05,2.9416424898695456e-05,8.862271930415405e-06,2.055415296828005e-05,3.033150802707527e-06,1.535924482593694e-05,2.333311531791295e-05,1.0365668361905109e-05,1.296744695600784e-05,2.074101024690561e-06,7.681497452736077e-06,3.846973009732596e-05,9.514940740107698e-06,2.895478935721825e-05,1.6291064850600177e-06,2.3092418775092784e-05,5.414698356500576e-05,2.426227884633418e-05,2.9884704718671585e-05,1.3899750445611167e-05,2.349544181668784e-05,1.6968270403655238e-05,9.424886263876298e-06,7.543384139778944e-06,1.7259128071938003e-06,6.280969070915174e-06,3.099563375125352e-05,1.0166453880120415e-05,2.0829179871133098e-05,2.2076245949069367e-06,1.3847367855712094e-05,3.656949295030179e-05,9.316876723584778e-06,2.725261622671701e-05,1.5058235377324664e-06,1.749730289680349e-05,1.5397294037941095e-05,7.965622871494077e-06,7.431671166447019e-06,7.231100285030973e-07,1.1403202212871557e-06,5.527060338992525e-05,2.477991882950538e-05,3.0490684560419887e-05,1.4150922668824302e-05,2.440013040661662e-05,3.5956995378209055e-05,1.082142092191011e-05,2.513557445629895e-05,2.437102388075904e-06,1.968395426787846e-05,4.307343255238861e-05,9.916811957736243e-06,3.3156620594652374e-05,1.985106090135885e-06,2.593956186316885e-05,3.5860963873544645e-05,9.608400327615348e-06,2.62525635459293e-05,1.692874417394497e-06,2.061502952965425e-05,3.939193447390442e-05,9.661505962956766e-06,2.9730428510947657e-05,1.7842556720973482e-06,2.370563555426384e-05,4.4982735885179714e-05,1.0720945044450276e-05,3.426179084072944e-05,2.5422586404018342e-06,2.924641438351764e-05,4.692266488076271e-05,1.1705354765672552e-05,3.521731011509014e-05,3.214279738076792e-06,3.074988039389942e-05,4.66544908468067e-05,1.2213400137953507e-05,3.444109070885319e-05,3.766458511128256e-06,3.013542037593581e-05,4.228803810618925e-05,1.2847063107145007e-05,2.9440974999044245e-05,2.4381795102047467e-06,2.3797616573697405e-05,1.9727472546138127e-05,3.3628972176023875e-07,1.9391182824377885e-05,2.2852812013521052e-07,1.4151648597741872e-05
0_00195,3.7563858971847135e-05,8.446531143357166e-06,2.911732782848997e-05,1.5582727185360703e-06,2.313261418982208e-05,3.824787616230677e-05,5.98156014535272e-06,3.226631601695404e-05,2.253082661299999e-06,2.665024808369172e-05,2.737346786119328e-05,7.666927015216855e-06,1.970654084597642e-05,2.5925219294708504e-06,1.4877498877767186e-05,2.1436970079302422e-05,8.929088615393574e-06,1.2507881463908848e-05,1.4804567658410754e-06,7.5817101169810255e-06,3.6358208628864455e-05,8.26688363648016e-06,2.809132499238429e-05,1.3809190787064942e-06,2.2263931065995583e-05,5.320493655149186e-05,2.420901342013115e-05,2.8995923131360723e-05,1.4533764460340394e-05,2.2631167681424976e-05,1.5712898439395934e-05,8.29091957093952e-06,7.421978868456413e-06,1.4419833965948465e-06,6.207331974068456e-06,2.955279308215342e-05,8.738736880996214e-06,2.081405620115721e-05,1.7623752973761615e-06,1.4081033686326286e-05,3.365406940485564e-05,8.210768090598605e-06,2.544330131425703e-05,1.3085083867183754e-06,1.5967588464938407e-05,1.370389663672896e-05,7.049663871871911e-06,6.654232764857049e-06,5.731224281475857e-07,9.462496352232028e-07,5.460500363260037e-05,2.472640087257932e-05,2.987860276002107e-05,1.4936351178325603e-05,2.379237985833921e-05,3.396790482411936e-05,9.562614043192989e-06,2.4405290780926374e-05,2.314423310604594e-06,1.9093356647530104e-05,4.132904043795387e-05,8.880942971100773e-06,3.2448097466853095e-05,1.7932390733876508e-06,2.5284744434195115e-05,3.375737831131815e-05,8.431739121187854e-06,2.5325639190130304e-05,1.5048732107015034e-06,1.9786866968111607e-05,3.748808753990951e-05,8.458764845488751e-06,2.9029322694420748e-05,1.558587617676875e-06,2.3059495827723257e-05,4.3514190827411785e-05,9.547696010507694e-06,3.39664948169041e-05,2.3547165398147094e-06,2.906744744158472e-05,4.575642316012373e-05,1.0669703259824418e-05,3.508671990029931e-05,3.212269507693563e-06,3.064788301309485e-05,4.576929452393686e-05,1.1037892791716672e-05,3.4731401732220186e-05,3.6464129343093695e-06,3.025953935482366e-05,4.112921866917002e-05,1.1871050325812167e-05,2.925816834335785e-05,2.243805458256642e-06,2.365873444512448e-05,1.5650679749896484e-05,1.6707673530077632e-07,1.5483603014595703e-05,1.2544179500342597e-07,1.135344315534013e-05
0_00218,3.49729549621505e-05,7.325885090329508e-06,2.7647069871821e-05,1.4144664618199518e-06,2.183060048504985e-05,3.599853573940397e-05,5.171391379736516e-06,3.0827144359667444e-05,1.936576574812892e-06,2.5302375257530703e-05,2.4630243007694584e-05,6.316801170643221e-06,1.8313441837051364e-05,2.006778121376801e-06,1.3921745751947e-05,1.983414276955249e-05,7.67673000592183e-06,1.2157412763630662e-05,1.0573295577427064e-06,7.4218101120608865e-06,3.427296284671189e-05,7.09790888466387e-06,2.717505396204801e-05,1.1935925963881235e-06,2.134753106178127e-05,5.01969666507951e-05,2.202444151180797e-05,2.8172525138987133e-05,1.2915556050817046e-05,2.180224961217401e-05,1.4737948166606391e-05,7.285534190982218e-06,7.452413975624176e-06,1.3056616329621238e-06,6.276042723830973e-06,2.8655638409985456e-05,7.780664675887092e-06,2.087497373409836e-05,1.358166610869742e-06,1.4360650270742175e-05,3.078893499117169e-05,7.307694069117056e-06,2.348124092205464e-05,1.1801806469391802e-06,1.4175371864246226e-05,1.2037221162777725e-05,6.148051347317676e-06,5.889169815460046e-06,4.736241639167468e-07,7.274371751889189e-07,5.088589166693844e-05,2.2333172503750567e-05,2.8552719163187867e-05,1.3316300464775687e-05,2.257592437920074e-05,3.2109302896785365e-05,8.721224612903687e-06,2.3388078283881687e-05,2.329578781209012e-06,1.824880936421947e-05,3.943170068295854e-05,7.697230555573212e-06,3.173447012738534e-05,1.6514198610431404e-06,2.459367039978784e-05,3.11514421038539e-05,7.214829816609099e-06,2.39366122872448e-05,1.2825273099139696e-06,1.865071037921234e-05,3.4856638196711786e-05,7.24408784722566e-06,2.761255034948612e-05,1.3724364985096005e-06,2.184477286954416e-05,4.182118034775334e-05,8.418471775893811e-06,3.340270857185953e-05,2.1811562399684303e-06,2.8647530821357354e-05,4.520612590154242e-05,9.611059037977674e-06,3.559506686356476e-05,3.265944533848134e-06,3.116347837754625e-05,4.498020546102739e-05,1.0030241979207854e-05,3.4949963481819535e-05,3.5996532849812385e-06,3.071719664294253e-05,3.948539177366468e-05,1.0891594917242285e-05,2.8593796856422392e-05,2.0270654353521664e-06,2.3050477148119828e-05,1.1694099348333324e-05,8.692567793328337e-08,1.1607173670400041e-05,7.919875318225193e-08,8.24346270097467e-06
0_00243,3.2843302619086843e-05,6.167140746282567e-06,2.6676161872804284e-05,1.1211346763577117e-06,2.088125320641043e-05,3.325485337281211e-05,4.281212875420155e-06,2.8973640497391946e-05,1.535098750230204e-06,2.388808530584209e-05,2.22611437225054e-05,5.232943421084464e-06,1.702820030142093e-05,1.4645416410706426e-06,1.294417830950122e-05,1.806124340850536e-05,6.541581116123807e-06,1.1519662292381549e-05,7.922713028199493e-07,7.262603670589918e-06,3.1956890888941405e-05,5.986057492842248e-06,2.5970833396099148e-05,9.82153643330899e-07,2.022571142090943e-05,4.841061074912509e-05,2.148356740579066e-05,2.692704334333442e-05,1.3204891043276982e-05,2.073279134466949e-05,1.3456545892272362e-05,5.958364256314965e-06,7.498181635957396e-06,9.254146996206912e-07,6.323263900987578e-06,2.6904296157270432e-05,6.3767177558846255e-06,2.052757840138581e-05,8.736597886001041e-07,1.432140150109768e-05,2.809090233945149e-05,6.260191026523143e-06,2.183071131292835e-05,9.563250186461718e-07,1.2469402624196348e-05,1.071630773660463e-05,5.278016544097753e-06,5.4382911925068775e-06,3.5776005282823175e-07,6.697745533985386e-07,5.021549129157393e-05,2.2599765057574098e-05,2.761572623399984e-05,1.4149714996364843e-05,2.1659651213293634e-05,2.9803169956682248e-05,7.63921400593341e-06,2.216395595074884e-05,2.244387362661031e-06,1.7289055637035943e-05,3.703177818846812e-05,6.456762586242371e-06,3.0575015602225754e-05,1.267999420357456e-06,2.360712355132892e-05,2.883221753579476e-05,6.170367983185396e-06,2.2661849552609365e-05,1.0980267269860815e-06,1.740962064886263e-05,3.2786166086044895e-05,6.156411338213922e-06,2.6629754747830964e-05,1.1191837292851415e-06,2.0844929118223272e-05,4.0022275106629525e-05,7.214698503428011e-06,3.2807576603201505e-05,1.929415597216276e-06,2.811585828319299e-05,4.41299170722153e-05,8.450719089870572e-06,3.567919798234475e-05,3.032536212176606e-06,3.1410991253719e-05,4.419354500292324e-05,9.111547382404933e-06,3.508199762051831e-05,3.46122494406332e-06,3.0875906520447234e-05,3.822643617829201e-05,1.0122454282787597e-05,2.8103981895504403e-05,1.804089062892196e-06,2.256460840230881e-05,8.435792433276055e-06,7.27599982661929e-08,8.363032435009859e-06,5.9166009210746484e-08,5.914138299065192e-06
